"size","init (ms)","oper (ms)","veri (ms)","theta 0 rad","theta 0 deg","theta 1 rad","theta 1 deg","theta diff rad","theta diff deg"
10,0.011736,0.001442,8.3e-05,1.41678,81.1754,1.41678,81.1754,0,0
100,0.004986,0.001763,0.000432,1.62181,92.923,1.62181,92.923,0,0
1000,0.056698,0.017962,0.003875,1.53746,88.0899,1.53746,88.0899,0,0
10000,0.546962,0.1709,0.035851,1.57609,90.3032,1.57609,90.3032,0,0
100000,5.46922,1.97777,0.343379,1.57447,90.2103,1.57447,90.2103,0,0
1e+06,46.9901,16.2499,3.22069,1.5704,89.9774,1.5704,89.9774,0,0
1e+07,458.852,167.935,33.2935,1.57043,89.9791,1.57043,89.9791,0,0
1e+08,4632.47,4517.74,328.387,1.57068,89.9932,1.57068,89.9932,0,0
