size,init (ms),oper (ms),copy (ms),veri (ms),theta 0 rad,theta 0 deg,theta 1 rad,theta 1 deg,theta diff rad,theta diff deg
10,0.0875,0.2597,0.0614,0.0085,1.15403,66.1211,1.15403,66.1211,2.22E-16,1.42E-14
100,0.0854,0.3075,0.0528,0.0015,1.61268,92.3996,1.61268,92.3996,0,0
1000,0.0594,0.3192,0.0612,0.0136,1.60462,91.938,1.60462,91.938,0,0
10000,0.0579,0.3659,0.0961,0.1338,1.56906,89.9003,1.56906,89.9003,0,0
100000,0.0606,1.2387,0.5136,1.3708,1.5695,89.9258,1.5695,89.9258,0,0
1.00E+06,0.1702,5.6425,4.1815,12.8433,1.572,90.0688,1.572,90.0688,2.22E-16,1.42E-14
1.00E+07,0.9246,44.8221,39.9678,127.074,1.57056,89.9865,1.57056,89.9865,0,0
1.00E+08,2.8049,405.384,400.855,1301.2,1.57082,90.0016,1.57082,90.0016,0,0
