size,init (ms),oper (ms),copy (ms),veri (ms),theta 0 rad,theta 0 deg,theta 1 rad,theta 1 deg,theta diff rad,theta diff deg
10,0.205441,0.190054,0.062382,0.000141,1.5647,89.6507,1.5647,89.6507,0,0
100,0.192174,0.210968,0.063318,0.000583,1.62491,93.1004,1.62491,93.1004,2.22E-16,1.42E-14
1000,0.186225,0.243104,0.06653,0.004779,1.55496,89.0926,1.55496,89.0926,0,0
10000,0.203847,0.296773,0.082985,0.054525,1.56436,89.6314,1.56436,89.6314,0,0
100000,0.189951,1.48854,0.31885,0.479345,1.57153,90.042,1.57153,90.042,0,0
1.00E+06,0.401444,5.66033,5.20688,4.45082,1.57077,89.9985,1.57077,89.9985,0,0
1.00E+07,1.57685,43.4445,47.0127,43.415,1.57057,89.987,1.57057,89.987,0,0
1.00E+08,7.31375,408.229,547.716,449.266,1.57093,90.0079,1.57093,90.0079,0,0
