size,init (ms),oper (ms),veri (ms),theta 0 rad,theta 0 deg,theta 1 rad,theta 1 deg,theta diff rad,theta diff deg
10,0.006,0.0009,0.0003,1.41678,81.1754,1.41678,81.1754,0,0
100,0.0077,0.0016,0.0014,1.57553,90.2709,1.57553,90.2709,0,0
1000,0.0489,0.0106,0.0134,1.53089,87.7133,1.53089,87.7133,0,0
10000,0.4561,0.1163,0.1337,1.58042,90.5515,1.58042,90.5515,0,0
100000,4.7584,1.3657,1.3365,1.57401,90.1839,1.57401,90.1839,0,0
1.00E+06,42.9985,14.2408,13.8054,1.57121,90.0237,1.57121,90.0237,0,0
1.00E+07,440.481,149.955,128.655,1.57047,89.9812,1.57047,89.9812,0,0
1.00E+08,4538.31,1573.75,1301.38,1.57081,90.0007,1.57081,90.0007,0,0
