"size","init (ms)","oper (ms)","veri (ms)","theta 0 rad","theta 0 deg","theta 1 rad","theta 1 deg","theta diff rad","theta diff deg"
10,0.006718,0.001008,8.4e-05,1.41678,81.1754,1.41678,81.1754,0,0
100,0.003497,0.001086,0.000266,1.62181,92.923,1.62181,92.923,0,0
1000,0.034388,0.011872,0.002273,1.53746,88.0899,1.53746,88.0899,0,0
10000,0.331374,0.129421,0.024208,1.57609,90.3032,1.57609,90.3032,0,0
100000,3.34934,1.34813,0.233053,1.57447,90.2103,1.57447,90.2103,0,0
1e+06,31.7717,15.1994,2.65617,1.5704,89.9774,1.5704,89.9774,0,0
1e+07,307.894,127.69,22.9652,1.57043,89.9791,1.57043,89.9791,0,0
1e+08,3130.81,1366.69,248.455,1.57068,89.9932,1.57068,89.9932,0,0
