size,init (ms),oper (ms),copy (ms),veri (ms),theta 0 rad,theta 0 deg,theta 1 rad,theta 1 deg,theta diff rad,theta diff deg
10,0.293768,0.152174,0.060156,0.000321,1.23902,70.9909,1.23902,70.9909,2.22E-16,1.42E-14
100,0.278854,0.179769,0.062157,0.001156,1.59724,91.5151,1.59724,91.5151,0,0
1000,0.257666,0.199818,0.06162,0.009494,1.58397,90.7551,1.58397,90.7551,0,0
10000,0.267668,0.233473,0.082072,0.089681,1.55951,89.3533,1.55951,89.3533,0,0
100000,0.610333,0.351938,0.528021,0.908423,1.56773,89.8241,1.56773,89.8241,0,0
1.00E+06,2.93012,4.42678,5.31207,8.8368,1.5722,90.0803,1.5722,90.0803,0,0
1.00E+07,26.2313,24.0735,47.0492,87.7361,1.57043,89.9791,1.57043,89.9791,0,0
1.00E+08,235.673,210.306,630.704,881.454,1.57087,90.0045,1.57087,90.0045,2.22E-16,1.42E-14
