size,init (ms),oper (ms),veri (ms),theta 0 rad,theta 0 deg,theta 1 rad,theta 1 deg,theta diff rad,theta diff deg
10,0.01007,0.002992,0.000251,1.41678,81.1754,1.41678,81.1754,0,0
100,0.00564,0.001222,0.000978,1.57553,90.2709,1.57553,90.2709,0,0
1000,0.036159,0.010755,0.009344,1.53089,87.7133,1.53089,87.7133,0,0
10000,0.349586,0.103018,0.093278,1.58042,90.5515,1.58042,90.5515,0,0
100000,3.51335,1.12427,0.891127,1.57401,90.1839,1.57401,90.1839,0,0
1.00E+06,34.2978,11.5787,8.42087,1.57121,90.0237,1.57121,90.0237,0,0
1.00E+07,354.066,137.459,96.3383,1.57047,89.9812,1.57047,89.9812,0,0
1.00E+08,3412.71,1275.89,887.462,1.57081,90.0007,1.57081,90.0007,0,0
