size,init (ms),oper (ms),veri (ms),theta 0 rad,theta 0 deg,theta 1 rad,theta 1 deg,theta diff rad,theta diff deg
10,0.0084,0.0062,0.0007,1.41678,81.1754,1.41678,81.1754,0,0
100,0.0084,0.0029,0.0025,1.62181,92.923,1.62181,92.923,0,0
1000,0.0859,0.019,0.0283,1.53746,88.0899,1.53746,88.0899,0,0
10000,0.8437,0.4424,0.2477,1.57609,90.3032,1.57609,90.3032,0,0
100000,8.7975,2.4841,2.4858,1.57447,90.2103,1.57447,90.2103,0,0
1.00E+06,73.3211,21.7999,23.4847,1.5704,89.9774,1.5704,89.9774,0,0
1.00E+07,624.237,188.989,209.032,1.57043,89.9791,1.57043,89.9791,0,0
1.00E+08,6345.27,2010.93,2106.01,1.57068,89.9932,1.57068,89.9932,0,0
