size,init (ms),oper (ms),copy (ms),veri (ms),theta 0 rad,theta 0 deg,theta 1 rad,theta 1 deg,theta diff rad,theta diff deg
10,0.2147,0.6791,0.072,0.0004,1.66965,95.664,1.66965,95.664,0,0
100,0.199,0.7971,0.0498,0.0028,1.61048,92.2737,1.61048,92.2737,0,0
1000,0.199,1.0248,0.0672,0.025,1.61342,92.4421,1.61342,92.4421,0,0
10000,0.2001,1.2469,0.0858,0.2478,1.56962,89.9324,1.56962,89.9324,0,0
100000,0.2247,2.9427,2.0161,2.4757,1.56694,89.7791,1.56694,89.7791,0,0
1.00E+06,0.4781,5.0984,4.6944,25.0933,1.57067,89.9926,1.57067,89.9926,0,0
1.00E+07,0.9842,29.4176,42.9037,225.434,1.5704,89.9774,1.5704,89.9774,0,0
1.00E+08,7.2793,260.947,373.252,2340.81,1.57083,90.0022,1.57083,90.0022,0,0
