size,init (ms),oper (ms),copy (ms),veri (ms),theta 0 rad,theta 0 deg,theta 1 rad,theta 1 deg,theta diff rad,theta diff deg
10,0.789122,0.485113,0.093203,0.000757,1.48411,85.0333,1.48411,85.0333,0,0
100,0.797704,0.720608,0.11562,0.001615,1.60557,91.9926,1.60557,91.9926,0,0
1000,0.769044,0.815456,0.108473,0.01518,1.57625,90.3127,1.57625,90.3127,0,0
10000,0.737632,1.03832,0.13373,0.152069,1.57291,90.1209,1.57291,90.1209,0,0
100000,1.49779,1.01835,0.740073,1.52675,1.56912,89.9038,1.56912,89.9038,2.22E-16,1.42E-14
1.00E+06,2.32588,6.4141,5.87739,14.9426,1.57073,89.9963,1.57073,89.9963,0,0
1.00E+07,14.3728,22.8561,50.585,165.076,1.57141,90.035,1.57141,90.035,0,0
1.00E+08,131.31,188.95,502.194,1449.93,1.5707,89.9946,1.5707,89.9946,0,0
