size,init (ms),oper (ms),copy (ms),veri (ms),theta 0 rad,theta 0 deg,theta 1 rad,theta 1 deg,theta diff rad,theta diff deg
10,0.521319,1.09715,0.080785,0.00033,2.08044,119.2,2.08044,119.2,0,0
100,0.445616,0.590895,0.083521,0.001258,1.4947,85.6399,1.4947,85.6399,0,0
1000,0.474592,0.845132,0.097728,0.007025,1.58092,90.5799,1.58092,90.5799,0,0
10000,0.476821,0.820236,0.105322,0.065559,1.59281,91.2612,1.59281,91.2612,2.22E-16,1.42E-14
100000,0.378505,2.9758,0.464864,0.690707,1.57186,90.0609,1.57186,90.0609,0,0
1.00E+06,1.00038,6.06665,5.20985,6.52402,1.57189,90.0629,1.57189,90.0629,0,0
1.00E+07,2.84823,27.1717,46.4582,65.7235,1.57038,89.976,1.57038,89.976,0,0
1.00E+08,16.9398,235.396,431.298,647.999,1.57082,90.0013,1.57082,90.0013,0,0
